Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1972,[1972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33030559,,,,,,,,,,,,,,,
Estonia,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,2.129,,-7,,,,,,,,,,15483.76978,,,,,,70.35,,,,,,,,,,1.123907965,1394029,30.91,,,,,,,32.482,,,,,66.0038,1.92768962,
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],,,,,7.06,0.045948624,-9,0.286555067,,,,,,,,,1132.487888,,,140.2,,,43.471,,,,,,,,,,2.863227849,30642920,27.749,,43.766,,2.827904063,,,,,,,,8.9368,4.834002173,1408
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],2.158273381,,,,,5.972985815,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92053427,39288,28.083,,,,,,,,,,,,28.901,2.577731997,234.6666667
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1972,[1972],,,,,,5.612244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,,,,,,,11
Fiji,Oceania,Oceania,East Asia & Pacific,1972,[1972],12.58894362,,,,4.275,1.067214888,9,,45.88595484,,,1523.047912,,,,55.18561041,5595.518968,,,42.3,14.72537148,,60.546,,,,,,,,,,2.087603047,542846,29.706,,96.281,52628.668,,,,,826780467.1,,-9.299655568,,35.5432,3.198320072,579.3333333
Finland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],8.798713024,,,,1.59,9.50778193,10,4.188160677,23.93762583,,,12051.20233,,,,24.42750678,28717.7518,,,12,8.244069855,,70.87,,,,,,3.216646,4.713326,1.853951,2.55470547,0.595195266,4644371,13.735,,101.501,23684.6,930.6241948,22.58689,,,55913445265,,-0.489880949,24.30507,65.3548,1.866190678,44157.66667
France,Europe - Western,Europe,Europe & Central Asia,1972,[1972],59.36969343,,,,2.327,9.320518208,8,3.170731002,16.6672922,,,12540.90377,,,,15.76583048,33681.10832,,,13.7,6.908856447,,72.38,,,,,1.3,0.8751437,1.124962,0.6363424,2.212851997,0.804961782,51572812,93.514,,103.35,3949.03,514.4744027,8.512176,,29.5,6.62E+11,,0.901483296,26.32404,71.8034,1.327469718,480685.3333
French Guiana,America - South,Central and South America,America,1972,[1972],,,,,4.267,1.97644945,,,,,,,,,,,13802.33516,,,,,,65.706,,,,,,,,,,,51945,0.577,,,2625854.87,,,,,,,,,,,102.6666667
French Polynesia,Oceania,Oceania,East Asia & Pacific,1972,[1972],12.02185792,,,,4.889,1.828637763,,,,,,8624.453079,,,,,29134.31248,,,,5.014463266,,60.836,,,,,,,,,,3.187986275,118303,29.576,,,,,,,,1020298673,,,,55.902,3.771057384,216.3333333
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1972,[1972],20.04501882,,,,5.208,4.963656034,-9,1.902477479,73.08743779,,,3832.348113,,,,72.25788018,22803.89681,,,,-7.276968614,,48.316,,,,,,,,,,2.214028739,551811,2.062,,84.135,296950.82,,,,,2114720779,,0.829557604,,36.3884,8.433429088,2739
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],53.8,,,,6.185,0.135304127,8,,33.77305743,,,505.7759209,,,,40.75574324,1512.173673,,,120.8,3.156777993,,39.556,,,,,,,,,,3.199116413,487790,43.186,,,15548.77,,,,,247894580,,-6.982685811,,21.468,7.900816679,66
Georgia,Asia - Western,Asia,Europe & Central Asia,1972,[1972],,,,,2.579,,-7,,,,,1183.937088,,,,,7482.452143,,,,-1.304840185,,68.086,,,,,3.319999933,,,,,4.770403033,4791473,68.744,,,,,,,,4978810636,,,,48.9412,5.730428802,
Germany,Europe - Western,Europe,Europe & Central Asia,1972,[1972],54.27491192,,,,1.8,13.27670135,10,4.017337385,15.80490775,,,12711.15676,,,,17.46983688,36032.36054,,,20.6,4.531857129,,71.01,,,,,,,,,1.938078694,0.478481046,78549958,220.014,,,1960.53,920.3724416,,,44.534,1.00E+12,,-1.664929126,,72.3884,0.557530467,1042884.333
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],51.41953063,,,,6.915,0.26436668,-7,0.345725408,20.7004338,,,285.6461311,,,,15.21631064,2356.447416,,,116.8,15.46587287,,49.911,,,,,,,,,,2.838062006,9167822,38.434,,,5570.95,19.88786545,,,,2615935781,,5.484123162,,29.4064,3.579417995,2423.666667
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],,,,,,2.93509439,,,,,,,,,,,,,,,,,,,,,,,,,,,,24985,4164.167,,,,866.0166938,,,,,,,,,,73.33333333
Greece,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],71.06283941,,,,2.351,3.558903001,-7,1.134786493,11.20941043,,,7859.491655,,,,19.54356222,24259.60611,,,30.7,5.046610798,,71.576,,,,,1.7,0.4950963,0.641416,0.3663145,0.967904377,0.650037188,8870711,67.224,,90.379,8370.242,301.2255502,1.88145,,37.75,69860097594,,-8.334151783,12.40097,53.6252,1.700943946,31570
Greenland,America - North,North America,America,1972,[1972],0.687737782,,,,2.77,11.48471586,,,,,,10658.40503,,,,,37352.04846,,,,5.69999985,,,,,,,,,,,,2.303766807,48209,0.022,,,12508037.91,,,,104,514800963,,,,73.402,2.752990979,553.6666667
Grenada,America - Central,Central and South America,America,1972,[1972],58.82352941,,,,4.537,0.507653858,,,,,,,,,,,4809.167875,,,,,,64.462,,,,,,,,,,-0.259524918,93896,272.953,,99.478,,,,,,,,,,32.3532,-0.041070042,47.66666667
Guadeloupe,America - Central,Central and South America,America,1972,[1972],,,,,4.548,1.161611657,,,,,,,,,,,7634.917268,,,,,,65.993,,,,,,,,,,,325123,190.688,,,,,,,,,,,,,,377.6666667
Guam,Oceania,Oceania,East Asia & Pacific,1972,[1972],31.48148148,,,,4.137,,,,,,,,,,,,,,,,,,66.473,,,,,,,,,,2.204307591,89350,162.75,,,,,,,,,,,,70.6048,8.55185896,
Guatemala,America - Central,Central and South America,America,1972,[1972],26.12915267,,,,6.208,0.471050911,1,0.490220406,18.90734336,,,1342.824296,,,,18.53614457,8062.816542,,,111.5,-1.36346086,,53.436,,,,,,,,,,2.725142312,5752386,52.828,,82.164,19434.84,40.01045522,,,143,7724443678,,0.371198787,,36.0142,3.378682966,2709.666667
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,,,,,,35622.67448,,,,,,,,,,,,,,,,,53818,,,,,,,,,,,,,,,
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],58.52596451,,,,6.25,0.196852085,-9,,,,,,,,,,1483.332461,,,189,,,37.255,,,,,,,,,,0.767825305,4228217,17.198,,,58135.22,,,,,,,,,17.3922,4.921394462,832.3333333
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],48.64864865,,,,6.812,0.104946811,,,4.355616367,,,169.0956258,,,,35.63004952,1640.449175,,,,4.974506021,,44.363,,,,,,,,,,2.421064922,628890,17.409,,63.225,51433.07,,,,,106342548.1,,-31.27443315,,15.4592,3.484973925,66
Guyana,America - South,Central and South America,America,1972,[1972],6.984901632,,,,4.974,2.122793117,1,,57.46704795,,,739.2007646,,,,58.76856646,4878.292811,,,55.2,9.885673799,,59.687,,,,,,,,,,0.822455764,735823,3.423,,97.198,333856.05,,,,,543920924.2,,-1.301518508,,29.6418,1.188825869,1562
Haiti,America - Central,Central and South America,America,1972,[1972],57.47460087,,,,5.643,0.080434991,-10,0.317739401,,,,,,,,,3308.913892,,,156.5,,,47.915,,,,,,,,,,1.726442808,4877645,175.771,,,2873.5961,10.00541685,,,65.7,,,,,20.0188,2.369905684,392.3333333
Holy See,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,1500,,,,,,,,,,,,,,
Honduras,America - Central,Central and South America,America,1972,[1972],27.52703548,,,,7.111,0.540656133,-1,0.499918532,29.26525646,,,925.8773323,,,,28.20672591,5059.684689,,,93.5,3.86452598,,53.763,,,,,,,,,,2.800924117,2841609,25.352,,,33728.1747,49.92220956,,,150.8,2630981360,,1.058530553,,30.1852,4.949384087,1536.333333
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],,,,,,,,,,,,7390.650148,,,,,16631.85629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1972,[1972],76.09203068,,,,2.067,6.679466032,-7,1.880208557,34.11985881,,,2696.8277,,,,32.90311029,20337.31223,,,38.3,2.11601139,,69.76,,,,,2.1,2.129073,2.576703,1.731695,0.698400817,0.298102515,10393745,111.722,,93.327,9987.75,222.9552406,21.17418,,52.898,28042933178,,1.216748516,17.28711,60.9596,0.995744926,69424.66667
Iceland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],22.80299252,,,,2.88,7.080802205,,4.403969647,35.01518543,,,16021.59528,,,,36.79213482,31596.12724,,,11.8,18.33448103,,74.46,,,,,1.6,,,,2.651128637,1.463775579,209722,2.036,,,810596.88,1515.025971,,,76,3350708373,,-1.776949385,,85.6076,1.877913009,1485
India,Asia - Southern,Asia,South Asia,1972,[1972],59.94235148,,,,5.323,0.375651318,9,0.276145564,3.958076733,,,208.773044,,,,3.753365939,1515.708895,,,136.9,10.8396027,,50.281,,,,,,,,,0.038096399,2.30613551,579871075,176.399,,58.516,3304.851,7.601015203,,,,1.21E+11,,0.322397465,,20.3888,3.860171411,217829.3333
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],21.16948282,,,,5.338,0.348061349,-7,0.293066558,17.4937236,,,255.712018,,,,16.11289967,2222.215814,,,106.3,15.2101708,,53.746,,,,,,,,,0.063931766,2.522964847,124507744,65.373,,79.913,22465.18,8.164263452,,,,31838126471,,1.38082393,,17.9694,5.054545876,43336.33333
Iran,Asia - Southern,Asia,Middle East & North Africa,1972,[1972],37.33382457,,,,6.292,3.522940669,-10,0.539526783,24.10648393,,,1793.574657,,,,20.27852015,17970.00228,,,130.7,6.464270049,,52.561,,,,,,,,,0.666772878,3.076676723,30197689,18.322,,57.555,4505.7671,39.79288038,,,,54161809687,,3.827963774,,43.026,4.735560217,106384.6667
Iraq,Asia - Western,Asia,Middle East & North Africa,1972,[1972],20.94336603,,,,7.234,2.761587342,-7,0.401261205,,,,,,,,,18404.02459,,,74.3,,,59.47,,,,,,,,,,3.301996222,10700247,24.412,,42.326,6990.093,150.6009836,,,,,,,,58.244,5.059118159,29549.66667
Ireland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],82.47931485,,,,3.785,7.255809341,10,2.194513065,32.10400269,,,7915.815676,,,,37.89400468,19061.54579,,,18.2,,,71.02,,,,,,0.7164317,0.9362798,0.4853573,1.639944089,1.497301181,3039128,43.247,,102.088,17157.18,811.2159569,2.437459,,22.308,,,-5.790001988,20.62658,52.4868,2.217433404,22051.33333
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],54.38596491,,,,,,,,,,,,,,,,18006.64887,,,,,,,,,,,,,,,,1.461964053,58567,102.39,,,,,,,,,,,,54.4598,0.210912201,
Israel,Asia - Western,Asia,Middle East & North Africa,1972,[1972],24.35304991,,,,3.798,5.581223236,9,1.756331004,31.32566283,,,11510.28914,,,,50.42187761,25573.86445,,,,12.70610483,,71.572,,,,,3.155900002,,,,,2.541555331,3033863,137,,,579.285,633.5338398,,,,36234390201,,-19.09621477,,85.1742,3.118035905,16932.66667
Italy,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],59.52874775,,,,2.377,6.083147883,10,2.050737877,17.00235902,,,9928.720744,,,,16.14527863,24538.54756,,,26.4,5.632973193,,72.19,,,,,,1.041235,1.520423,0.5888233,1.815806892,0.567712499,54074032,179.458,,92.051,3509.81,447.6064922,3.585773,,29.55,5.40E+11,,0.857080395,24.64838,64.8204,0.991624715,328940.3333
Jamaica,America - Central,Central and South America,America,1972,[1972],46.81440443,,,,5.108,3.26688559,10,1.331985811,32.77742961,,,3938.668958,,,,41.06733284,14867.77859,,,41.1,-4.905810791,,68.767,,,,,,,,,,1.545963836,1924871,175.132,,,4885.0273,141.6943697,,,,7582577384,,-8.289903228,,42.3996,2.8224851,6288.333333
Japan,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],17.68685215,,,,2.109,8.003161914,10,2.66704675,10.37558333,,,18398.72118,,,,8.183560717,29557.57273,,,11.9,5.60442162,,73.42,,,,,1.1,1.252671,1.46952,1.055934,2.198109173,1.400779181,106619818,282.158,,100.073,4012.08,657.1117715,16.29184,,4.9,1.97E+12,,2.262560224,19.28418,73.4126,2.452156342,853295.6667
Jersey,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70268,,,,,,,,,,,,,,,
Jordan,Asia - Western,Asia,Middle East & North Africa,1972,[1972],12.56799637,,,,7.818,1.050590891,-9,0.330340195,,,,,,,,,4221.712618,,,59.7,,,61.545,,,,,,,,,,3.723814106,1825322,20.431,,80.644,528.636,,,,,,,,,56.6426,4.318418632,1917.666667
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1972,[1972],,,,,3.44,,-7,,,,,,,,,,13492.81309,,,66.7,,,63.107,,,,,,,,,,1.60028619,13540301,4.969,,,,,,,,,,,,51.1672,2.514409537,
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],44.37396774,,,,8.012,0.320450511,-7,0.45731077,26.58782886,,,388.3013099,,,,28.72707946,2444.719936,,,86.2,1.205245847,,53.364,,,,,,,,,,3.586420101,12082989,20.82,,71.119,2535.85,15.94337798,,,,4686644220,,-2.139250598,,11.3426,8.314438839,3872
Kiribati,Oceania,Oceania,East Asia & Pacific,1972,[1972],46.91358025,,,,5.346,0.560689138,,,44.09941816,,,1289.63145,,,,39.40045535,10631.76849,,,91.8,5.227674167,,52.324,,,,,,,,,,1.628593877,45777,63.054,,89.518,,,,,,65207737.75,,4.698962813,,26.2952,5.91617472,25.66666667
Kuwait,Asia - Western,Asia,Middle East & North Africa,1972,[1972],7.575757576,,,,6.978,31.74464585,-8,7.766447316,68.59972896,,,,,,,20.66256831,218695.7339,,,48,1.482396109,,66.692,,,,,,3.819734,5.424952,1.954169,5.345535507,7.05071169,870446,48.852,,83.378,23.677,2197.717398,0.4255642,,,,,47.93716066,47.74715,87.1502,7.908769524,27632
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1972,[1972],,,,,4.724,,-7,,,,,,,,,,5154.651655,,,,,,61.104,,,,,,,,,,,3103694,,,,,,,,,,,,,,,
Latvia,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,1.958,,-7,,,,,2344.534427,,,,,11911.32375,,,,-0.277088305,,70.26,,,,,,,,,,0.808250226,2405177,37.232,,,,,,,,5616740168,,,,62.0906,1.92379603,
Lebanon,Asia - Western,Asia,Middle East & North Africa,1972,[1972],62.07233627,,,,4.73,2.199219686,5,0.734353947,,,,,,,,,12796.86767,,,44.3,,,66.565,,,,,,,,,,2.698753391,2597588,249.768,,,1750.508,,,,,,,,,62.4762,5.129943398,5712.666667
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1972,[1972],77.70092227,,,,5.802,,-9,,16.07717042,,,180.1315445,,,,69.1318328,993.1631845,,,125.7,13.9421205,,49.627,,,,,,,,,,2.043505472,1076100,35.451,,146.201,2806.8415,,,,,193839555,,-53.05466238,,9.4936,6.81997905,
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],26.69227575,,,,6.777,0.990427619,-6,,74.65405194,,,785.5523635,,,,46.24369077,1606.010907,,,179,3.490002075,,40.522,,,,,,,,,,2.781151837,1521565,13.662,,47.957,157913.58,,,,,1195269000,,22.7452922,,27.7678,5.969614572,1507
Libya,Africa - Northern,Africa,Middle East & North Africa,1972,[1972],7.637223365,,,,7.929,7.01916083,-7,1.012753662,,,,,,,,,42022.99442,,,87.2,,,57.995,,,,,,,,,,4.239266513,2169965,1.233,,61.375,276.5,104.4202764,,,,,,,,54.9166,9.133051869,15231.33333
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1972,[1972],56.25,,,,,,,,,,,32447.18017,,,,,71087.54099,,,,8.243710048,,,,,,,,,,,,1.804799528,22196,138.725,,,,,,,,720197611.1,,,,18.4014,1.664691002,
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,2.291,,-7,,,,,,,,,,21463.26609,,,18.7,,,71.26,,,,,,,,,,1.081907096,3204064,49.067,,,,,,,24.472,,,,,52.007,3.467512699,
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1972,[1972],,,,,1.778,38.9075513,,12.00957011,85.26783379,,,18706.07015,,,,72.10927856,47766.39599,,,16.9,5.788806976,,70.71,,,,,1.2,,,,,1.213040312,346805,134.109,,98.908,8938.74,565.5951529,,,29.07,6484097816,,13.14614057,,75.5432,1.989912004,13493.33333
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],,,,,,,,,,,,,,,,,18688.36618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],60.90724628,,,,7.318,0.18626863,-3,,14.26297437,,,416.8795563,,,,18.32323304,3497.125965,,,97,3.024334944,,45.735,,,,,,,,,,2.694837575,6909376,11.77,,85.079,46151.81,,,,,2880304466,,-4.060258674,,14.9936,5.720078098,1287
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],41.44039033,,,,7.389,0.113486716,-9,,23.28725038,,,140.8933527,,,,37.94162826,1169.243942,,,194.5,0.924482011,,41.511,,,,,,,,,,3.083656813,4814073,40.631,,56.698,3603.887,,,,,678270976,,-14.65437788,,6.6926,7.980007308,546.3333333
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],14.52746918,,,,4.603,1.562820332,4,0.539680469,34.01669532,,,1254.427269,,,,35.24187582,5698.18956,,,40,0.354944928,,65.258,,,,,,,,,0.308783167,2.456835886,11461117,34.747,,,50843.85,,,,59,14377137703,,-1.225180497,,35.1332,4.875616339,17911.66667
Maldives,Asia - Southern,Asia,South Asia,1972,[1972],20,,,,7.159,0.029745969,,,,,,,,,,,1438.642758,,,158.1,,,45.69,,,,,,,,,,3.263623725,123266,413.644,,,235.745,,,,,,,,,14.0574,11.27453416,3.666666667
Mali,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],26.04348503,,,,6.924,0.039312321,-7,,10.02927277,,,180.434843,,,,19.56931231,1162.737752,,,187.6,6.472314205,,33.782,,,,,,,,,,1.786893008,6249101,5.039,,52.94,19655.49,,,,,1127555558,,-9.540039544,,15.0956,4.355437751,245.6666667
Malta,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],43.75,,,,1.975,2.770052641,,0.873033559,46.52572073,,,2250.59689,,,,67.45876046,8258.982569,,,22.1,-1.223264314,,71.045,,,,,,,,,,-0.082624147,303123,959.25,,92.705,167.2357,,,,,680693029.3,,-20.93303973,,89.7162,-0.073037905,839.6666667
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1972,[1972],,,,,,,,,,,,,,,,,11437.45985,,,59.7,,,,,,,,,,,,,4.724927496,22340,123.425,,,,,,,,,,,,56.348,7.291844146,
Martinique,America - Central,Central and South America,America,1972,[1972],,,,,4.165,2.392874642,,,,,,,,,,,19940.54377,,,,,,67.019,,,,,,,,,,,327918,297.566,,,,,,,,,,,,,,784.6666667
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],38.31667799,,,,6.759,0.372324163,-7,,48.22486671,,,589.5397521,,,,49.20603074,3173.703562,,,105.8,7.122218393,,50.046,,,,,,,,,,2.920305735,1201462,1.172,,,9397.23,,,,,708309609.6,,-0.98116403,,16.966,10.26221057,447.3333333
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],55.66502463,,,,3.575,0.808146176,9,,,,,,,,,,5150.968316,,,60.6,,,63.534,,,,,,1.522529,1.484822,1.513006,,1.516321534,852981,418.128,,92.501,3227.9222,,3.221966,,50.3,,,,17.37966,42.5964,2.181023088,689.3333333
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],43.24324324,,,,7.928,,,,,,,,,,,,,,,,,,63.588,,,,,,,,,,,39955,106.832,,,,,,,,,,,,,,
Mexico,America - Central,Central and South America,America,1972,[1972],50.37115152,,,,6.525,2.40458325,-6,0.863265218,8.064080577,,,3689.330523,,,,8.834187877,13618.81338,,,72.2,6.485252673,,62.333,,,,,,19.47209,36.12885,3.413355,0.420942165,3.021259117,55081201,28.128,,86.995,8249.5913,136.1341022,1.300987,,116.3,2.03E+11,,-0.7701073,11.04668,60.5162,4.264324952,132447.3333
Monaco,Europe - Western,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,54207.35513,,,,,42306.8123,,,,6.867038719,,,,,,,2.208300114,,,,,1.301572779,24282,16296.644,,,,,,,,1316262997,,,,100,1.301572779,
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],90.55524087,,,,7.497,2.413916714,-7,,,,,,,,,,2843.48395,,,,,,56.192,,,,,,,,,,2.960771192,1359478,0.868,,,26183.44,,,,,,,,,46.4936,4.523235239,3281.666667
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],,,,,2.625,,-7,,,,,,,,,,15556.82803,,,,,,70.906,,,,,,,,,,1.081827342,528905,38.293,,,,,,,,,,,,28.7606,4.454407326,
Montserrat,America - Central,Central and South America,America,1972,[1972],,,,,,1.259373748,,,,,,,,,,,12152.5027,,,,,,,,,,,,,,,,,11646,114.176,,,,,,,,,,,,,,14.66666667
Morocco,Africa - Northern,Africa,Middle East & North Africa,1972,[1972],58.63243267,,,,6.485,0.499915359,-9,0.164370493,18.57399871,,,809.1624781,,,,19.22295995,3860.38995,,,115.8,3.584219923,,53.311,,,,,,,,,,2.472431305,16099392,36.053,,53.441,1801.3,34.03837061,,,,13086362238,,-0.648961234,,35.7718,4.298814089,8048.333333
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],59.80314861,,,,6.58,0.333926069,,0.68468697,,,,,,,,,1449.835607,,,174.6,,,40.181,,,,,,,,,,2.218856006,9882427,12.329,,,21982.708,17.63896699,,,,,,,,6.946,10.98545501,3300
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],16.53303547,,,,5.791,0.178289074,-7,0.292616772,6.16412937,,,,,,,8.549943315,1450.093558,,,111.5,0.755486424,,51.817,,,,,,,,,,2.462778533,27475978,40.61,,85.049,37707.9067,4.391933786,,,,,,-2.385813945,,23.2668,3.405888436,4898.666667
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1972,[1972],46.94943459,,,,6.57,,,,,,,,,,,,7492.161896,,,63.5,,,53.645,,,,,,,,,,3.121199192,829810,1.007,,,21615.3097,,,,,,,,,22.8356,4.31858615,
Nauru,Oceania,Oceania,East Asia & Pacific,1972,[1972],,,,,,11.41924959,,,,,,,,,,,13877.46086,,,,,,,,,,,,,,,,,6743,321.095,,,,,,,,,,,,,,77
Nepal,Asia - Southern,Asia,South Asia,1972,[1972],26.44755245,,,,5.945,0.021461407,-9,0.301353592,5.661104973,,,141.4128351,,,,7.917831657,1349.576259,,,171.6,12.50268411,,43.268,,,,,,,,,,2.287281337,12472000,84.739,,21.691,16571.16,4.915248571,,,,1763700880,,-2.256726684,,4.3056,6.431822154,267.6666667
Netherlands,Europe - Western,Europe,Europe & Central Asia,1972,[1972],62.61848341,,,,2.15,11.92466581,10,4.381006532,44.9886861,,,13348.4483,,,,41.72730106,33871.14547,,,11.8,9.245642448,,73.75,,,,,1.4,0.5488947,0.7436297,0.3500003,3.027640407,1.01117285,13231426,318.615,,94.754,6839.15,751.0800027,4.975188,,20,1.78E+11,,3.261385039,22.99323,62.271,1.500557108,157780.3333
Netherlands Antilles,Europe - Western,Europe,America,1972,[1972],,,,,2.69,,,,,,,,,,,,22091.36601,,,,,,70.046,,,,,,,,,,,162504,203.13,,,,,,,,,,,,,,
New Caledonia,Oceania,Oceania,East Asia & Pacific,1972,[1972],14.44201313,,,,5.173,14.91766847,,,,,,11328.59581,,,,,64002.61372,,,,7.764086398,,63.455,,,,,,,,,,4.751111487,114294,6.153,,,,,,,,1349666247,,,,52.8052,6.251927828,1705
New Zealand,Oceania,Oceania,East Asia & Pacific,1972,[1972],60.996544,,,,2.90378,5.526442974,10,2.649752402,24.60470294,,,,,,,21.59004956,32092.07457,,,16.2,,,71.89,,,,,,1.037983,1.450284,0.6142817,1.50721172,1.768358888,2930577,10.833,,98.494,111488.57,2521.364624,7.881433,,69.07,,,3.014653385,24.22828,81.7732,2.177150924,16195.66667
Nicaragua,America - Central,Central and South America,America,1972,[1972],29.99833804,,,,6.807,0.630005276,-8,0.497706914,35.28925154,,,1678.365249,,,,29.64206232,9377.186533,,,110.8,4.250734604,,54.937,,,,,,,,,,3.055362255,2549185,19.609,,102.338,77116.791,112.7139944,,,157.9,3297510125,,5.647189218,,47.7128,3.773465719,1606
Niger,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],24.61277335,,,,7.495,0.054519282,-7,,14.21370631,,,290.2173268,,,,20.49460775,1908.418473,,,137.6,3.361177393,,36.621,,,,,,,,,,2.9643162,4640560,3.663,,53.534,7488.256,,,,,1346770918,,-6.280901443,,9.844,8.444996772,253
Nigeria,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],76.74824599,,,,6.575,0.688175703,-7,0.619737904,10.96812781,,,388.2899816,,,,11.79551778,1698.388838,,,160,2.892868111,,42.047,,,,,,,,,,2.431823991,60191508,65.159,,63.395,5066.5,11.87409436,,,,23371759533,,-0.827389961,,23.8368,4.83237061,41422.33333
Niue,Oceania,Oceania,East Asia & Pacific,1972,[1972],,,,,,0.775685777,,,,,,,,,,,,,,,,,,,,,,,,,,,,4727,18.181,,,,,,,,,,,,,,3.666666667
North Korea,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],,,,,,5.959041417,,1.340458868,,,,,,,,,,,,48,,,,,,,,,,,,,2.640492209,,124.728,,,,,,,,,,,,55.2,3.550416594,89591.33333
Northern Mariana Islands,Oceania,Oceania,East Asia & Pacific,1972,[1972],,,,,,,,,,,,,,,,,6191.637441,,,,,,,,,,,,,,,,3.482366264,14142,30.478,,,,,,,,,,,,74.2588,6.348853285,
